subj,session,trial,rt,object_response,category,condition,imagename
AlexNet_topK_50_Revert,1,1,NaN,bear,airplane,NaN,airplane1-bicycle2.png
AlexNet_topK_50_Revert,1,2,NaN,bear,airplane,NaN,airplane1-chair2.png
AlexNet_topK_50_Revert,1,3,NaN,bear,airplane,NaN,airplane1-clock1.png
AlexNet_topK_50_Revert,1,4,NaN,bear,airplane,NaN,airplane1-elephant1.png
AlexNet_topK_50_Revert,1,5,NaN,bear,airplane,NaN,airplane10-airplane1.png
AlexNet_topK_50_Revert,1,6,NaN,bear,airplane,NaN,airplane10-bear3.png
AlexNet_topK_50_Revert,1,7,NaN,cat,airplane,NaN,airplane10-boat3.png
AlexNet_topK_50_Revert,1,8,NaN,cat,airplane,NaN,airplane10-car3.png
AlexNet_topK_50_Revert,1,9,NaN,bear,airplane,NaN,airplane10-cat2.png
AlexNet_topK_50_Revert,1,10,NaN,elephant,airplane,NaN,airplane10-dog3.png
AlexNet_topK_50_Revert,1,11,NaN,bear,airplane,NaN,airplane10-elephant1.png
AlexNet_topK_50_Revert,1,12,NaN,bear,airplane,NaN,airplane10-knife3.png
AlexNet_topK_50_Revert,1,13,NaN,bear,airplane,NaN,airplane10-oven2.png
AlexNet_topK_50_Revert,1,14,NaN,bear,airplane,NaN,airplane10-truck1.png
AlexNet_topK_50_Revert,1,15,NaN,bear,airplane,NaN,airplane2-bear1.png
AlexNet_topK_50_Revert,1,16,NaN,cat,airplane,NaN,airplane2-bicycle1.png
AlexNet_topK_50_Revert,1,17,NaN,bear,airplane,NaN,airplane2-bird3.png
AlexNet_topK_50_Revert,1,18,NaN,bear,airplane,NaN,airplane2-bottle1.png
AlexNet_topK_50_Revert,1,19,NaN,bear,airplane,NaN,airplane2-cat1.png
AlexNet_topK_50_Revert,1,20,NaN,bear,airplane,NaN,airplane2-dog1.png
AlexNet_topK_50_Revert,1,21,NaN,bear,airplane,NaN,airplane3-airplane2.png
AlexNet_topK_50_Revert,1,22,NaN,cat,airplane,NaN,airplane3-car1.png
AlexNet_topK_50_Revert,1,23,NaN,bear,airplane,NaN,airplane3-cat1.png
AlexNet_topK_50_Revert,1,24,NaN,bear,airplane,NaN,airplane3-chair3.png
AlexNet_topK_50_Revert,1,25,NaN,bear,airplane,NaN,airplane3-clock1.png
AlexNet_topK_50_Revert,1,26,NaN,bear,airplane,NaN,airplane3-dog1.png
AlexNet_topK_50_Revert,1,27,NaN,bear,airplane,NaN,airplane3-elephant1.png
AlexNet_topK_50_Revert,1,28,NaN,bear,airplane,NaN,airplane3-keyboard2.png
AlexNet_topK_50_Revert,1,29,NaN,cat,airplane,NaN,airplane3-oven1.png
AlexNet_topK_50_Revert,1,30,NaN,bear,airplane,NaN,airplane4-airplane1.png
AlexNet_topK_50_Revert,1,31,NaN,bear,airplane,NaN,airplane4-bear3.png
AlexNet_topK_50_Revert,1,32,NaN,bear,airplane,NaN,airplane4-bicycle2.png
AlexNet_topK_50_Revert,1,33,NaN,bear,airplane,NaN,airplane4-bird3.png
AlexNet_topK_50_Revert,1,34,NaN,cat,airplane,NaN,airplane4-boat3.png
AlexNet_topK_50_Revert,1,35,NaN,bear,airplane,NaN,airplane4-bottle1.png
AlexNet_topK_50_Revert,1,36,NaN,cat,airplane,NaN,airplane4-car1.png
AlexNet_topK_50_Revert,1,37,NaN,bear,airplane,NaN,airplane4-cat3.png
AlexNet_topK_50_Revert,1,38,NaN,bear,airplane,NaN,airplane4-dog2.png
AlexNet_topK_50_Revert,1,39,NaN,bear,airplane,NaN,airplane4-elephant1.png
AlexNet_topK_50_Revert,1,40,NaN,elephant,airplane,NaN,airplane4-keyboard3.png
AlexNet_topK_50_Revert,1,41,NaN,bear,airplane,NaN,airplane4-knife1.png
AlexNet_topK_50_Revert,1,42,NaN,bear,airplane,NaN,airplane4-truck2.png
AlexNet_topK_50_Revert,1,43,NaN,bear,airplane,NaN,airplane5-bear2.png
AlexNet_topK_50_Revert,1,44,NaN,cat,airplane,NaN,airplane5-bicycle1.png
AlexNet_topK_50_Revert,1,45,NaN,bear,airplane,NaN,airplane5-bird2.png
AlexNet_topK_50_Revert,1,46,NaN,cat,airplane,NaN,airplane5-boat3.png
AlexNet_topK_50_Revert,1,47,NaN,cat,airplane,NaN,airplane5-bottle3.png
AlexNet_topK_50_Revert,1,48,NaN,bear,airplane,NaN,airplane5-chair3.png
AlexNet_topK_50_Revert,1,49,NaN,bear,airplane,NaN,airplane5-dog3.png
AlexNet_topK_50_Revert,1,50,NaN,bear,airplane,NaN,airplane5-knife1.png
AlexNet_topK_50_Revert,1,51,NaN,bear,airplane,NaN,airplane5-oven3.png
AlexNet_topK_50_Revert,1,52,NaN,bear,airplane,NaN,airplane6-bear3.png
AlexNet_topK_50_Revert,1,53,NaN,cat,airplane,NaN,airplane6-bottle2.png
AlexNet_topK_50_Revert,1,54,NaN,cat,airplane,NaN,airplane6-chair3.png
AlexNet_topK_50_Revert,1,55,NaN,elephant,airplane,NaN,airplane6-keyboard3.png
AlexNet_topK_50_Revert,1,56,NaN,bear,airplane,NaN,airplane6-knife1.png
AlexNet_topK_50_Revert,1,57,NaN,cat,airplane,NaN,airplane7-airplane3.png
AlexNet_topK_50_Revert,1,58,NaN,bear,airplane,NaN,airplane7-bird3.png
AlexNet_topK_50_Revert,1,59,NaN,bear,airplane,NaN,airplane7-boat2.png
AlexNet_topK_50_Revert,1,60,NaN,cat,airplane,NaN,airplane7-bottle3.png
AlexNet_topK_50_Revert,1,61,NaN,cat,airplane,NaN,airplane7-car1.png
AlexNet_topK_50_Revert,1,62,NaN,elephant,airplane,NaN,airplane7-cat3.png
AlexNet_topK_50_Revert,1,63,NaN,bear,airplane,NaN,airplane7-clock3.png
AlexNet_topK_50_Revert,1,64,NaN,bear,airplane,NaN,airplane7-keyboard1.png
AlexNet_topK_50_Revert,1,65,NaN,bear,airplane,NaN,airplane7-truck1.png
AlexNet_topK_50_Revert,1,66,NaN,cat,airplane,NaN,airplane8-bicycle3.png
AlexNet_topK_50_Revert,1,67,NaN,bear,airplane,NaN,airplane8-bird1.png
AlexNet_topK_50_Revert,1,68,NaN,elephant,airplane,NaN,airplane8-chair1.png
AlexNet_topK_50_Revert,1,69,NaN,bear,airplane,NaN,airplane8-clock2.png
AlexNet_topK_50_Revert,1,70,NaN,cat,airplane,NaN,airplane8-elephant3.png
AlexNet_topK_50_Revert,1,71,NaN,bear,airplane,NaN,airplane8-oven2.png
AlexNet_topK_50_Revert,1,72,NaN,bear,airplane,NaN,airplane8-truck3.png
AlexNet_topK_50_Revert,1,73,NaN,cat,airplane,NaN,airplane9-airplane2.png
AlexNet_topK_50_Revert,1,74,NaN,cat,airplane,NaN,airplane9-boat1.png
