subj,session,trial,rt,object_response,category,condition,imagename
VGG_topK0,1,1,NaN,truck,airplane,NaN,airplane1-bicycle2.png
VGG_topK0,1,2,NaN,airplane,airplane,NaN,airplane1-chair2.png
VGG_topK0,1,3,NaN,knife,airplane,NaN,airplane1-clock1.png
VGG_topK0,1,4,NaN,knife,airplane,NaN,airplane1-elephant1.png
VGG_topK0,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png
VGG_topK0,1,6,NaN,cat,airplane,NaN,airplane10-bear3.png
VGG_topK0,1,7,NaN,car,airplane,NaN,airplane10-boat3.png
VGG_topK0,1,8,NaN,car,airplane,NaN,airplane10-car3.png
VGG_topK0,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png
VGG_topK0,1,10,NaN,bottle,airplane,NaN,airplane10-dog3.png
VGG_topK0,1,11,NaN,keyboard,airplane,NaN,airplane10-elephant1.png
VGG_topK0,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png
VGG_topK0,1,13,NaN,keyboard,airplane,NaN,airplane10-oven2.png
VGG_topK0,1,14,NaN,car,airplane,NaN,airplane10-truck1.png
VGG_topK0,1,15,NaN,bird,airplane,NaN,airplane2-bear1.png
VGG_topK0,1,16,NaN,car,airplane,NaN,airplane2-bicycle1.png
VGG_topK0,1,17,NaN,knife,airplane,NaN,airplane2-bird3.png
VGG_topK0,1,18,NaN,bicycle,airplane,NaN,airplane2-bottle1.png
VGG_topK0,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png
VGG_topK0,1,20,NaN,bottle,airplane,NaN,airplane2-dog1.png
VGG_topK0,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png
VGG_topK0,1,22,NaN,truck,airplane,NaN,airplane3-car1.png
VGG_topK0,1,23,NaN,dog,airplane,NaN,airplane3-cat1.png
VGG_topK0,1,24,NaN,truck,airplane,NaN,airplane3-chair3.png
VGG_topK0,1,25,NaN,clock,airplane,NaN,airplane3-clock1.png
VGG_topK0,1,26,NaN,cat,airplane,NaN,airplane3-dog1.png
VGG_topK0,1,27,NaN,oven,airplane,NaN,airplane3-elephant1.png
VGG_topK0,1,28,NaN,keyboard,airplane,NaN,airplane3-keyboard2.png
VGG_topK0,1,29,NaN,airplane,airplane,NaN,airplane3-oven1.png
VGG_topK0,1,30,NaN,clock,airplane,NaN,airplane4-airplane1.png
VGG_topK0,1,31,NaN,bottle,airplane,NaN,airplane4-bear3.png
VGG_topK0,1,32,NaN,car,airplane,NaN,airplane4-bicycle2.png
VGG_topK0,1,33,NaN,bottle,airplane,NaN,airplane4-bird3.png
VGG_topK0,1,34,NaN,truck,airplane,NaN,airplane4-boat3.png
VGG_topK0,1,35,NaN,keyboard,airplane,NaN,airplane4-bottle1.png
VGG_topK0,1,36,NaN,truck,airplane,NaN,airplane4-car1.png
VGG_topK0,1,37,NaN,knife,airplane,NaN,airplane4-cat3.png
VGG_topK0,1,38,NaN,cat,airplane,NaN,airplane4-dog2.png
VGG_topK0,1,39,NaN,knife,airplane,NaN,airplane4-elephant1.png
VGG_topK0,1,40,NaN,knife,airplane,NaN,airplane4-keyboard3.png
VGG_topK0,1,41,NaN,bottle,airplane,NaN,airplane4-knife1.png
VGG_topK0,1,42,NaN,keyboard,airplane,NaN,airplane4-truck2.png
VGG_topK0,1,43,NaN,knife,airplane,NaN,airplane5-bear2.png
VGG_topK0,1,44,NaN,keyboard,airplane,NaN,airplane5-bicycle1.png
VGG_topK0,1,45,NaN,airplane,airplane,NaN,airplane5-bird2.png
VGG_topK0,1,46,NaN,airplane,airplane,NaN,airplane5-boat3.png
VGG_topK0,1,47,NaN,bicycle,airplane,NaN,airplane5-bottle3.png
VGG_topK0,1,48,NaN,bicycle,airplane,NaN,airplane5-chair3.png
VGG_topK0,1,49,NaN,knife,airplane,NaN,airplane5-dog3.png
VGG_topK0,1,50,NaN,airplane,airplane,NaN,airplane5-knife1.png
VGG_topK0,1,51,NaN,car,airplane,NaN,airplane5-oven3.png
VGG_topK0,1,52,NaN,bird,airplane,NaN,airplane6-bear3.png
VGG_topK0,1,53,NaN,keyboard,airplane,NaN,airplane6-bottle2.png
VGG_topK0,1,54,NaN,chair,airplane,NaN,airplane6-chair3.png
VGG_topK0,1,55,NaN,bicycle,airplane,NaN,airplane6-keyboard3.png
VGG_topK0,1,56,NaN,knife,airplane,NaN,airplane6-knife1.png
VGG_topK0,1,57,NaN,airplane,airplane,NaN,airplane7-airplane3.png
VGG_topK0,1,58,NaN,airplane,airplane,NaN,airplane7-bird3.png
VGG_topK0,1,59,NaN,bicycle,airplane,NaN,airplane7-boat2.png
VGG_topK0,1,60,NaN,bicycle,airplane,NaN,airplane7-bottle3.png
VGG_topK0,1,61,NaN,car,airplane,NaN,airplane7-car1.png
VGG_topK0,1,62,NaN,knife,airplane,NaN,airplane7-cat3.png
