subj,session,trial,rt,object_response,category,condition,imagename
AlexNet_topK_5,1,1,NaN,bottle,airplane,NaN,airplane1-bicycle2.png
AlexNet_topK_5,1,2,NaN,dog,airplane,NaN,airplane1-chair2.png
AlexNet_topK_5,1,3,NaN,dog,airplane,NaN,airplane1-clock1.png
AlexNet_topK_5,1,4,NaN,bird,airplane,NaN,airplane1-elephant1.png
AlexNet_topK_5,1,5,NaN,cat,airplane,NaN,airplane10-airplane1.png
AlexNet_topK_5,1,6,NaN,car,airplane,NaN,airplane10-bear3.png
AlexNet_topK_5,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png
AlexNet_topK_5,1,8,NaN,airplane,airplane,NaN,airplane10-car3.png
AlexNet_topK_5,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png
AlexNet_topK_5,1,10,NaN,bird,airplane,NaN,airplane10-dog3.png
AlexNet_topK_5,1,11,NaN,bird,airplane,NaN,airplane10-elephant1.png
AlexNet_topK_5,1,12,NaN,airplane,airplane,NaN,airplane10-knife3.png
AlexNet_topK_5,1,13,NaN,cat,airplane,NaN,airplane10-oven2.png
AlexNet_topK_5,1,14,NaN,clock,airplane,NaN,airplane10-truck1.png
AlexNet_topK_5,1,15,NaN,cat,airplane,NaN,airplane2-bear1.png
AlexNet_topK_5,1,16,NaN,airplane,airplane,NaN,airplane2-bicycle1.png
AlexNet_topK_5,1,17,NaN,airplane,airplane,NaN,airplane2-bird3.png
AlexNet_topK_5,1,18,NaN,cat,airplane,NaN,airplane2-bottle1.png
AlexNet_topK_5,1,19,NaN,oven,airplane,NaN,airplane2-cat1.png
AlexNet_topK_5,1,20,NaN,cat,airplane,NaN,airplane2-dog1.png
AlexNet_topK_5,1,21,NaN,cat,airplane,NaN,airplane3-airplane2.png
AlexNet_topK_5,1,22,NaN,dog,airplane,NaN,airplane3-car1.png
AlexNet_topK_5,1,23,NaN,airplane,airplane,NaN,airplane3-cat1.png
AlexNet_topK_5,1,24,NaN,knife,airplane,NaN,airplane3-chair3.png
AlexNet_topK_5,1,25,NaN,cat,airplane,NaN,airplane3-clock1.png
AlexNet_topK_5,1,26,NaN,cat,airplane,NaN,airplane3-dog1.png
AlexNet_topK_5,1,27,NaN,chair,airplane,NaN,airplane3-elephant1.png
